Date,Price,Open,High,Low,Vol.,Change %,CPIAUCSL
2011-05-06,"1,491.60","1,475.90","1,498.50","1,471.10",264.80K,0.69%,224.806
2011-05-05,"1,481.40","1,517.00","1,522.10","1,462.50",334.05K,-2.24%,224.806
2011-05-04,"1,515.30","1,537.70","1,543.50","1,505.50",242.22K,-1.63%,224.806
2011-05-03,"1,540.40","1,545.20","1,551.40","1,516.20",206.73K,-1.07%,224.806
2011-05-02,"1,557.10","1,566.80","1,577.40","1,540.30",211.66K,0.04%,224.806
2011-04-29,"1,556.40","1,535.30","1,569.80","1,532.10",157.18K,1.65%,224.093
2011-04-28,"1,531.20","1,527.80","1,538.80","1,523.90",183.54K,0.93%,224.093
2011-04-27,"1,517.10","1,506.90","1,530.70","1,503.30",170.04K,0.90%,224.093
2011-04-26,"1,503.50","1,507.20","1,508.50","1,492.00",145.62K,-0.37%,224.093
2011-04-25,"1,509.10","1,510.70","1,519.20","1,502.20",123.69K,0.35%,224.093
2011-04-21,"1,503.80","1,502.00","1,509.60","1,500.40",127.27K,0.33%,224.093
2011-04-20,"1,498.90","1,496.10","1,506.50","1,493.80",147.87K,0.25%,224.093
2011-04-19,"1,495.10","1,496.60","1,500.50","1,488.20",131.69K,0.15%,224.093
2011-04-18,"1,492.90","1,488.00","1,498.60","1,477.80",199.12K,0.46%,224.093
2011-04-15,"1,486.00","1,476.60","1,489.10","1,472.20",160.62K,0.92%,224.093
2011-04-14,"1,472.40","1,458.10","1,476.70","1,453.20",166.79K,1.15%,224.093
2011-04-13,"1,455.60","1,454.00","1,463.70","1,452.00",121.24K,0.14%,224.093
2011-04-12,"1,453.60","1,465.20","1,468.50","1,445.00",186.45K,-0.99%,224.093
2011-04-11,"1,468.10","1,476.30","1,478.00","1,460.20",110.66K,-0.41%,224.093
2011-04-08,"1,474.10","1,459.80","1,476.40","1,457.70",123.69K,1.01%,224.093
2011-04-07,"1,459.30","1,460.10","1,466.50","1,453.70",109.29K,0.05%,224.093
2011-04-06,"1,458.50","1,458.20","1,463.70","1,452.50",131.98K,0.41%,224.093
2011-04-05,"1,452.50","1,435.60","1,458.60","1,431.00",166.36K,1.36%,224.093
2011-04-04,"1,433.00","1,430.00","1,440.30","1,429.10",83.87K,0.29%,224.093
2011-04-01,"1,428.90","1,433.80","1,437.80","1,413.50",165.28K,-0.76%,224.093
2011-03-31,"1,439.90","1,424.40","1,441.00","1,421.70",129.31K,1.05%,223.046
2011-03-30,"1,424.90","1,420.20","1,431.70","1,413.10",160.22K,0.61%,223.046
2011-03-29,"1,416.20","1,421.00","1,423.50","1,411.00",135.79K,-0.26%,223.046
2011-03-28,"1,419.90","1,428.50","1,430.00","1,410.10",178.88K,-0.44%,223.046
2011-03-25,"1,426.20","1,433.50","1,438.10","1,422.00",182.74K,-0.61%,223.046
2011-03-24,"1,434.90","1,438.00","1,448.60","1,423.70",187.09K,-0.22%,223.046
2011-03-23,"1,438.00","1,428.90","1,441.20","1,425.80",138.33K,0.73%,223.046
2011-03-22,"1,427.60","1,427.30","1,432.30","1,419.50",124.76K,0.08%,223.046
2011-03-21,"1,426.40","1,424.20","1,435.10","1,423.50",129.78K,0.73%,223.046
2011-03-18,"1,416.10","1,404.90","1,424.10","1,402.20",135.87K,0.85%,223.046
2011-03-17,"1,404.20","1,400.00","1,405.40","1,386.80",109.18K,0.58%,223.046
2011-03-16,"1,396.10","1,394.80","1,406.60","1,392.30",151.89K,0.24%,223.046
2011-03-15,"1,392.80","1,428.90","1,429.00","1,380.70",248.09K,-2.25%,223.046
2011-03-14,"1,424.90","1,421.90","1,433.50","1,418.20",107.16K,0.22%,223.046
2011-03-11,"1,421.80","1,411.80","1,424.60","1,404.80",171.58K,0.66%,223.046
2011-03-10,"1,412.50","1,431.10","1,431.80","1,403.00",204.14K,-1.20%,223.046
2011-03-09,"1,429.60","1,429.70","1,436.80","1,423.20",126.01K,0.17%,223.046
2011-03-08,"1,427.20","1,432.30","1,437.20","1,423.60",129.91K,-0.51%,223.046
2011-03-07,"1,434.50","1,435.00","1,445.70","1,428.30",170.66K,0.41%,223.046
2011-03-04,"1,428.60","1,415.70","1,434.00","1,413.80",141.35K,0.86%,223.046
2011-03-03,"1,416.40","1,436.50","1,436.90","1,410.60",202.80K,-1.48%,223.046
2011-03-02,"1,437.70","1,434.90","1,441.00","1,428.20",160.58K,0.45%,223.046
2011-03-01,"1,431.20","1,411.60","1,435.60","1,409.80",169.54K,1.51%,223.046
2011-02-28,"1,409.90","1,411.20","1,417.00","1,405.20",115.32K,0.04%,221.898
2011-02-25,"1,409.30","1,401.90","1,412.40","1,400.10",120.51K,-0.46%,221.898
2011-02-24,"1,415.80","1,412.10","1,418.80","1,392.20",187.39K,0.13%,221.898
2011-02-23,"1,414.00","1,399.40","1,417.30","1,396.00",153.79K,0.92%,221.898
2011-02-21,"1,401.10","1,390.10","1,411.50","1,390.10",222.81K,0.90%,221.898
2011-02-18,"1,388.60","1,385.40","1,392.60","1,382.00",113.56K,0.25%,221.898
